--- STARTED NEW SESSION ---
Frame 0033 -> Crop: 0.05ms | Resize: 0.48ms | Bright: 0.38ms | Contrast: 0.81ms | Blur: 0.05ms | HSV Conv: 0.10ms | Total Preprocess: 1.87ms
Frame 0034 -> Crop: 0.05ms | Resize: 0.43ms | Bright: 0.52ms | Contrast: 0.91ms | Blur: 0.07ms | HSV Conv: 0.09ms | Total Preprocess: 2.07ms
Frame 0035 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.40ms | Contrast: 0.85ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.78ms
Frame 0036 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.36ms | Contrast: 0.82ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.72ms
Frame 0037 -> Crop: 0.05ms | Resize: 0.41ms | Bright: 0.39ms | Contrast: 0.90ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.92ms
Frame 0038 -> Crop: 0.05ms | Resize: 0.29ms | Bright: 0.53ms | Contrast: 0.80ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.83ms
Frame 0039 -> Crop: 0.05ms | Resize: 0.43ms | Bright: 0.39ms | Contrast: 0.86ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.90ms
Frame 0040 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.37ms | Contrast: 0.87ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.79ms
Frame 0041 -> Crop: 0.06ms | Resize: 0.47ms | Bright: 0.42ms | Contrast: 0.93ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 2.04ms
Frame 0042 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.47ms | Contrast: 0.80ms | Blur: 0.06ms | HSV Conv: 0.09ms | Total Preprocess: 1.77ms
Frame 0043 -> Crop: 0.05ms | Resize: 0.34ms | Bright: 0.52ms | Contrast: 0.86ms | Blur: 0.06ms | HSV Conv: 0.12ms | Total Preprocess: 1.94ms
Frame 0044 -> Crop: 0.05ms | Resize: 0.34ms | Bright: 0.38ms | Contrast: 0.84ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.78ms
Frame 0045 -> Crop: 0.07ms | Resize: 0.32ms | Bright: 0.41ms | Contrast: 0.85ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.84ms
Frame 0046 -> Crop: 0.05ms | Resize: 0.34ms | Bright: 0.39ms | Contrast: 0.86ms | Blur: 0.08ms | HSV Conv: 0.12ms | Total Preprocess: 1.85ms
Frame 0047 -> Crop: 0.05ms | Resize: 0.40ms | Bright: 0.41ms | Contrast: 0.87ms | Blur: 0.09ms | HSV Conv: 0.10ms | Total Preprocess: 1.92ms
Frame 0048 -> Crop: 0.05ms | Resize: 0.45ms | Bright: 0.56ms | Contrast: 0.85ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 2.08ms
Frame 0049 -> Crop: 0.06ms | Resize: 0.33ms | Bright: 0.42ms | Contrast: 0.86ms | Blur: 0.14ms | HSV Conv: 0.10ms | Total Preprocess: 1.91ms
Frame 0050 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.39ms | Contrast: 0.83ms | Blur: 0.12ms | HSV Conv: 0.11ms | Total Preprocess: 1.81ms
Frame 0051 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.39ms | Contrast: 0.84ms | Blur: 0.06ms | HSV Conv: 0.11ms | Total Preprocess: 1.77ms
Frame 0052 -> Crop: 0.05ms | Resize: 0.36ms | Bright: 0.52ms | Contrast: 0.85ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.97ms
Frame 0053 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.39ms | Contrast: 1.05ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.99ms
Frame 0054 -> Crop: 0.05ms | Resize: 0.42ms | Bright: 0.40ms | Contrast: 0.91ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.93ms
Frame 0055 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.38ms | Contrast: 0.82ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.73ms
Frame 0056 -> Crop: 0.05ms | Resize: 0.39ms | Bright: 0.38ms | Contrast: 0.86ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.88ms
Frame 0057 -> Crop: 0.05ms | Resize: 0.36ms | Bright: 0.41ms | Contrast: 0.88ms | Blur: 0.09ms | HSV Conv: 0.11ms | Total Preprocess: 1.91ms
Frame 0058 -> Crop: 0.05ms | Resize: 0.26ms | Bright: 0.31ms | Contrast: 0.64ms | Blur: 0.07ms | HSV Conv: 0.08ms | Total Preprocess: 1.41ms
Frame 0059 -> Crop: 0.05ms | Resize: 0.37ms | Bright: 0.36ms | Contrast: 0.81ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.76ms
Frame 0060 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.41ms | Contrast: 0.79ms | Blur: 0.06ms | HSV Conv: 0.09ms | Total Preprocess: 1.71ms
Frame 0061 -> Crop: 0.05ms | Resize: 0.36ms | Bright: 0.37ms | Contrast: 0.83ms | Blur: 0.06ms | HSV Conv: 0.11ms | Total Preprocess: 1.79ms
Frame 0062 -> Crop: 0.05ms | Resize: 0.39ms | Bright: 0.35ms | Contrast: 0.75ms | Blur: 0.06ms | HSV Conv: 0.09ms | Total Preprocess: 1.70ms
Frame 0063 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.39ms | Contrast: 0.94ms | Blur: 0.16ms | HSV Conv: 0.10ms | Total Preprocess: 1.97ms
Frame 0064 -> Crop: 0.13ms | Resize: 0.36ms | Bright: 0.40ms | Contrast: 1.00ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 2.06ms
Frame 0065 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.37ms | Contrast: 0.85ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.79ms
Frame 0066 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.50ms | Contrast: 0.86ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.90ms
Frame 0067 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.36ms | Contrast: 0.81ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.71ms
Frame 0068 -> Crop: 0.06ms | Resize: 0.35ms | Bright: 0.41ms | Contrast: 0.85ms | Blur: 0.08ms | HSV Conv: 0.09ms | Total Preprocess: 1.84ms
Frame 0069 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.40ms | Contrast: 0.84ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.79ms
