--- STARTED NEW SESSION ---
Frame 0033 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.38ms | Contrast: 0.96ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.89ms
Frame 0034 -> Crop: 0.05ms | Resize: 0.38ms | Bright: 0.37ms | Contrast: 0.91ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.87ms
Frame 0035 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.40ms | Contrast: 0.84ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.80ms
Frame 0036 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.38ms | Contrast: 0.89ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.81ms
Frame 0037 -> Crop: 0.05ms | Resize: 0.27ms | Bright: 0.34ms | Contrast: 0.72ms | Blur: 0.19ms | HSV Conv: 0.10ms | Total Preprocess: 1.68ms
Frame 0038 -> Crop: 0.05ms | Resize: 0.30ms | Bright: 0.33ms | Contrast: 0.79ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.65ms
Frame 0039 -> Crop: 0.12ms | Resize: 0.36ms | Bright: 0.35ms | Contrast: 0.80ms | Blur: 0.07ms | HSV Conv: 0.09ms | Total Preprocess: 1.80ms
Frame 0040 -> Crop: 0.05ms | Resize: 0.30ms | Bright: 0.36ms | Contrast: 0.80ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.68ms
Frame 0041 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.37ms | Contrast: 0.82ms | Blur: 0.07ms | HSV Conv: 0.12ms | Total Preprocess: 1.74ms
Frame 0042 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.35ms | Contrast: 0.79ms | Blur: 0.08ms | HSV Conv: 0.12ms | Total Preprocess: 1.71ms
Frame 0043 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.38ms | Contrast: 0.85ms | Blur: 0.07ms | HSV Conv: 0.12ms | Total Preprocess: 1.80ms
Frame 0044 -> Crop: 0.05ms | Resize: 0.35ms | Bright: 0.35ms | Contrast: 0.86ms | Blur: 0.08ms | HSV Conv: 0.12ms | Total Preprocess: 1.80ms
Frame 0045 -> Crop: 0.06ms | Resize: 0.32ms | Bright: 0.36ms | Contrast: 0.83ms | Blur: 0.12ms | HSV Conv: 0.10ms | Total Preprocess: 1.79ms
Frame 0046 -> Crop: 0.05ms | Resize: 0.37ms | Bright: 0.39ms | Contrast: 0.82ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.79ms
Frame 0047 -> Crop: 0.05ms | Resize: 0.34ms | Bright: 0.37ms | Contrast: 0.89ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.80ms
Frame 0048 -> Crop: 0.06ms | Resize: 0.40ms | Bright: 0.46ms | Contrast: 0.82ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.91ms
Frame 0049 -> Crop: 0.05ms | Resize: 0.42ms | Bright: 0.40ms | Contrast: 0.82ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.85ms
Frame 0050 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.48ms | Contrast: 0.88ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.89ms
Frame 0051 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.49ms | Contrast: 0.88ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.91ms
Frame 0052 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.40ms | Contrast: 0.95ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.90ms
Frame 0053 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.39ms | Contrast: 0.86ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.80ms
Frame 0054 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.39ms | Contrast: 1.04ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.98ms
Frame 0055 -> Crop: 0.05ms | Resize: 0.37ms | Bright: 0.39ms | Contrast: 0.90ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.88ms
Frame 0056 -> Crop: 0.05ms | Resize: 0.40ms | Bright: 0.39ms | Contrast: 0.83ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.85ms
Frame 0057 -> Crop: 0.06ms | Resize: 0.34ms | Bright: 0.41ms | Contrast: 0.91ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.90ms
Frame 0058 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.50ms | Contrast: 0.87ms | Blur: 0.09ms | HSV Conv: 0.11ms | Total Preprocess: 1.94ms
Frame 0059 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.38ms | Contrast: 0.91ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.82ms
Frame 0060 -> Crop: 0.06ms | Resize: 0.41ms | Bright: 0.38ms | Contrast: 0.87ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.91ms
Frame 0061 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.41ms | Contrast: 0.77ms | Blur: 0.18ms | HSV Conv: 0.09ms | Total Preprocess: 1.83ms
Frame 0062 -> Crop: 0.05ms | Resize: 0.34ms | Bright: 0.39ms | Contrast: 0.88ms | Blur: 0.06ms | HSV Conv: 0.11ms | Total Preprocess: 1.82ms
Frame 0063 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.37ms | Contrast: 0.81ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.75ms
Frame 0064 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.39ms | Contrast: 0.82ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.77ms
Frame 0065 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.48ms | Contrast: 0.82ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.86ms
Frame 0066 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.39ms | Contrast: 0.86ms | Blur: 0.09ms | HSV Conv: 0.12ms | Total Preprocess: 1.82ms
Frame 0067 -> Crop: 0.11ms | Resize: 0.34ms | Bright: 0.41ms | Contrast: 0.86ms | Blur: 0.09ms | HSV Conv: 0.11ms | Total Preprocess: 1.93ms
Frame 0068 -> Crop: 0.06ms | Resize: 0.42ms | Bright: 0.42ms | Contrast: 0.95ms | Blur: 0.09ms | HSV Conv: 0.11ms | Total Preprocess: 2.05ms
Frame 0069 -> Crop: 0.05ms | Resize: 0.26ms | Bright: 0.31ms | Contrast: 0.76ms | Blur: 0.25ms | HSV Conv: 0.09ms | Total Preprocess: 1.72ms
Frame 0070 -> Crop: 0.06ms | Resize: 0.36ms | Bright: 0.56ms | Contrast: 0.89ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 2.03ms
Frame 0071 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.39ms | Contrast: 0.95ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.88ms
Frame 0072 -> Crop: 0.05ms | Resize: 0.42ms | Bright: 0.47ms | Contrast: 0.88ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 2.00ms
Frame 0073 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.38ms | Contrast: 0.86ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.79ms
Frame 0074 -> Crop: 0.08ms | Resize: 0.39ms | Bright: 0.43ms | Contrast: 0.85ms | Blur: 0.06ms | HSV Conv: 0.13ms | Total Preprocess: 1.93ms
Frame 0075 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.38ms | Contrast: 0.86ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.79ms
Frame 0076 -> Crop: 0.05ms | Resize: 0.39ms | Bright: 0.49ms | Contrast: 0.99ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 2.11ms
Frame 0077 -> Crop: 0.26ms | Resize: 0.35ms | Bright: 0.42ms | Contrast: 0.94ms | Blur: 0.06ms | HSV Conv: 0.12ms | Total Preprocess: 2.15ms
Frame 0078 -> Crop: 0.11ms | Resize: 0.35ms | Bright: 0.39ms | Contrast: 0.98ms | Blur: 0.06ms | HSV Conv: 0.11ms | Total Preprocess: 2.00ms
Frame 0079 -> Crop: 0.05ms | Resize: 0.34ms | Bright: 0.38ms | Contrast: 0.85ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.81ms
Frame 0080 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.40ms | Contrast: 0.85ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.80ms
Frame 0081 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.47ms | Contrast: 0.88ms | Blur: 0.19ms | HSV Conv: 0.10ms | Total Preprocess: 2.00ms
Frame 0082 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.39ms | Contrast: 0.89ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.83ms
Frame 0083 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.35ms | Contrast: 0.81ms | Blur: 0.08ms | HSV Conv: 0.12ms | Total Preprocess: 1.72ms
Frame 0084 -> Crop: 0.05ms | Resize: 0.40ms | Bright: 0.44ms | Contrast: 0.79ms | Blur: 0.18ms | HSV Conv: 0.10ms | Total Preprocess: 1.96ms
Frame 0085 -> Crop: 0.05ms | Resize: 0.30ms | Bright: 0.36ms | Contrast: 0.77ms | Blur: 0.06ms | HSV Conv: 0.09ms | Total Preprocess: 1.62ms
Frame 0086 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.37ms | Contrast: 0.86ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.79ms
Frame 0087 -> Crop: 0.05ms | Resize: 0.30ms | Bright: 0.51ms | Contrast: 0.83ms | Blur: 0.14ms | HSV Conv: 0.11ms | Total Preprocess: 1.92ms
Frame 0088 -> Crop: 0.06ms | Resize: 0.33ms | Bright: 0.38ms | Contrast: 0.88ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.81ms
Frame 0089 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.40ms | Contrast: 0.82ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.79ms
Frame 0090 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.45ms | Contrast: 0.86ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.87ms
Frame 0091 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.40ms | Contrast: 1.01ms | Blur: 0.06ms | HSV Conv: 0.09ms | Total Preprocess: 1.94ms
Frame 0092 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.39ms | Contrast: 0.90ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.84ms
Frame 0093 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.38ms | Contrast: 0.88ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.82ms
Frame 0094 -> Crop: 0.07ms | Resize: 0.42ms | Bright: 0.55ms | Contrast: 0.90ms | Blur: 0.19ms | HSV Conv: 0.11ms | Total Preprocess: 2.24ms
Frame 0095 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.39ms | Contrast: 0.84ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.79ms
Frame 0096 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.38ms | Contrast: 0.89ms | Blur: 0.07ms | HSV Conv: 0.12ms | Total Preprocess: 1.83ms
Frame 0097 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.40ms | Contrast: 0.98ms | Blur: 0.17ms | HSV Conv: 0.12ms | Total Preprocess: 2.05ms
Frame 0098 -> Crop: 0.06ms | Resize: 0.34ms | Bright: 0.38ms | Contrast: 0.85ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.80ms
Frame 0099 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.52ms | Contrast: 0.85ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.93ms
Frame 0100 -> Crop: 0.06ms | Resize: 0.32ms | Bright: 0.38ms | Contrast: 0.86ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.80ms
Frame 0101 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.54ms | Contrast: 0.85ms | Blur: 0.06ms | HSV Conv: 0.09ms | Total Preprocess: 1.91ms
Frame 0102 -> Crop: 0.05ms | Resize: 0.29ms | Bright: 0.33ms | Contrast: 0.79ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.65ms
Frame 0103 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.35ms | Contrast: 0.86ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.74ms
Frame 0104 -> Crop: 0.05ms | Resize: 0.38ms | Bright: 0.40ms | Contrast: 0.87ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.88ms
Frame 0105 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.37ms | Contrast: 1.01ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.94ms
Frame 0106 -> Crop: 0.05ms | Resize: 0.49ms | Bright: 0.38ms | Contrast: 0.90ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.98ms
Frame 0107 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.62ms | Contrast: 0.84ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.98ms
Frame 0108 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.35ms | Contrast: 0.87ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.77ms
Frame 0109 -> Crop: 0.05ms | Resize: 0.34ms | Bright: 0.41ms | Contrast: 0.82ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.80ms
Frame 0110 -> Crop: 0.08ms | Resize: 0.36ms | Bright: 0.36ms | Contrast: 0.85ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.85ms
Frame 0111 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.36ms | Contrast: 0.85ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.75ms
Frame 0112 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.37ms | Contrast: 0.83ms | Blur: 0.06ms | HSV Conv: 0.09ms | Total Preprocess: 1.71ms
Frame 0113 -> Crop: 0.05ms | Resize: 0.36ms | Bright: 0.38ms | Contrast: 0.85ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.80ms
Frame 0114 -> Crop: 0.07ms | Resize: 0.30ms | Bright: 0.35ms | Contrast: 0.83ms | Blur: 0.08ms | HSV Conv: 0.09ms | Total Preprocess: 1.72ms
Frame 0115 -> Crop: 0.05ms | Resize: 0.37ms | Bright: 0.38ms | Contrast: 0.79ms | Blur: 0.05ms | HSV Conv: 0.09ms | Total Preprocess: 1.73ms
Frame 0116 -> Crop: 0.06ms | Resize: 0.35ms | Bright: 0.53ms | Contrast: 0.77ms | Blur: 0.07ms | HSV Conv: 0.09ms | Total Preprocess: 1.86ms
Frame 0117 -> Crop: 0.05ms | Resize: 0.30ms | Bright: 0.36ms | Contrast: 0.81ms | Blur: 0.07ms | HSV Conv: 0.09ms | Total Preprocess: 1.69ms
Frame 0118 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.48ms | Contrast: 0.79ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.78ms
Frame 0119 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.37ms | Contrast: 1.03ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.95ms
Frame 0120 -> Crop: 0.06ms | Resize: 0.29ms | Bright: 0.37ms | Contrast: 0.78ms | Blur: 0.08ms | HSV Conv: 0.09ms | Total Preprocess: 1.67ms
Frame 0121 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.38ms | Contrast: 0.85ms | Blur: 0.20ms | HSV Conv: 0.11ms | Total Preprocess: 1.92ms
Frame 0122 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.55ms | Contrast: 0.85ms | Blur: 0.06ms | HSV Conv: 0.11ms | Total Preprocess: 1.93ms
Frame 0123 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.37ms | Contrast: 0.85ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.79ms
Frame 0124 -> Crop: 0.05ms | Resize: 0.34ms | Bright: 0.66ms | Contrast: 0.85ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 2.05ms
Frame 0125 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.41ms | Contrast: 0.99ms | Blur: 0.06ms | HSV Conv: 0.11ms | Total Preprocess: 1.95ms
Frame 0126 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.38ms | Contrast: 0.88ms | Blur: 0.07ms | HSV Conv: 0.12ms | Total Preprocess: 1.83ms
Frame 0127 -> Crop: 0.05ms | Resize: 0.30ms | Bright: 0.35ms | Contrast: 0.80ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.69ms
Frame 0128 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.36ms | Contrast: 0.93ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.84ms
Frame 0129 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.39ms | Contrast: 0.85ms | Blur: 0.07ms | HSV Conv: 0.09ms | Total Preprocess: 1.77ms
